id,chapter,chapterTitleTamil,chapterTitleEn,kuralFrom,kuralTo,lines,manuscriptId,doi,recordURL,imageWidth,imageHeight,pageXml,iiifManifest
CICT-PLM-GT-014,14,ஒழுக்கமுடைமை,Good Conduct,131,140,10,18771_16,10.5281/zenodo.20047006,https://zenodo.org/records/20047006,2893,545,page/18771_16.xml,iiif/CICT-PLM-GT-014/manifest.json
CICT-PLM-GT-015,15,பிறனில் விழையாமை,Non-coveting of Another's Wife,141,150,10,18781_17,10.5281/zenodo.20048167,https://zenodo.org/records/20048167,2974,557,page/18781_17.xml,iiif/CICT-PLM-GT-015/manifest.json
CICT-PLM-GT-016,16,பொறையுடைமை,Forbearance,151,160,10,18791_18,10.5281/zenodo.20049933,https://zenodo.org/records/20049933,2883,557,page/18791_18.xml,iiif/CICT-PLM-GT-016/manifest.json
CICT-PLM-GT-017,17,அழுக்காறாமை,Avoidance of Envy,161,170,10,18801_19,10.5281/zenodo.20052399,https://zenodo.org/records/20052399,2965,651,page/18801_19.xml,iiif/CICT-PLM-GT-017/manifest.json
CICT-PLM-GT-018,18,வெஃகாமை,Against Covetousness,171,180,10,18811_20,10.5281/zenodo.20062722,https://zenodo.org/records/20062722,2805,558,page/18811_20.xml,iiif/CICT-PLM-GT-018/manifest.json
CICT-PLM-GT-019,19,புறங்கூறாமை,Avoidance of Backbiting,181,190,10,18821_21,10.5281/zenodo.20065146,https://zenodo.org/records/20065146,2966,560,page/18821_21.xml,iiif/CICT-PLM-GT-019/manifest.json
CICT-PLM-GT-020,20,பயனில சொல்லாமை,Avoidance of Vain Speaking,191,200,10,18831_22,10.5281/zenodo.20068457,https://zenodo.org/records/20068457,2863,608,page/18831_22.xml,iiif/CICT-PLM-GT-020/manifest.json
CICT-PLM-GT-021,21,தீவினையச்சம்,Fear of Sin,201,210,10,18841_23,10.5281/zenodo.20078850,https://zenodo.org/records/20078850,3006,602,page/18841_23.xml,iiif/CICT-PLM-GT-021/manifest.json
CICT-PLM-GT-022,22,ஒப்புரவறிதல்,Knowing What is Befitting,211,220,10,18851_24,10.5281/zenodo.20116324,https://zenodo.org/records/20116324,2822,477,page/18851_24.xml,iiif/CICT-PLM-GT-022/manifest.json
CICT-PLM-GT-023,23,ஈகை,Charity / Generosity,221,230,10,18861_25,10.5281/zenodo.20120362,https://zenodo.org/records/20120362,2890,478,page/18861_25.xml,iiif/CICT-PLM-GT-023/manifest.json
CICT-PLM-GT-024,24,புகழ்,Fame / Renown,231,240,10,18871_26,10.5281/zenodo.20133411,https://zenodo.org/records/20133411,2784,485,page/18871_26.xml,iiif/CICT-PLM-GT-024/manifest.json
CICT-PLM-GT-025,25,அருளுடைமை,Possession of Compassion,241,250,10,18881_27,10.5281/zenodo.20134065,https://zenodo.org/records/20134065,2865,554,page/18881_27.xml,iiif/CICT-PLM-GT-025/manifest.json
CICT-PLM-GT-026,26,புலால் மறுத்தல்,Abstinence from Flesh,251,260,10,18891_28,10.5281/zenodo.20155208,https://zenodo.org/records/20155208,2773,500,page/18891_28.xml,iiif/CICT-PLM-GT-026/manifest.json
CICT-PLM-GT-027,27,தவம்,Austerity / Penance,261,270,10,18901_29,10.5281/zenodo.20522333,https://zenodo.org/records/20522333,2865,516,page/18901_29.xml,iiif/CICT-PLM-GT-027/manifest.json
CICT-PLM-GT-028,28,கூடாவொழுக்கம்,Hypocrisy / False Conduct,271,280,10,18911_30,10.5281/zenodo.20523135,https://zenodo.org/records/20523135,2792,479,page/18911_30.xml,iiif/CICT-PLM-GT-028/manifest.json
CICT-PLM-GT-029,29,கள்ளாமை,Non-Stealing / Abstaining from Theft,281,290,10,18921_31,10.5281/zenodo.20523573,https://zenodo.org/records/20523573,2760,437,page/18921_31.xml,iiif/CICT-PLM-GT-029/manifest.json
CICT-PLM-GT-030,30,வாய்மை,Truthfulness,291,300,10,18931_32,10.5281/zenodo.20524015,https://zenodo.org/records/20524015,2690,458,page/18931_32.xml,iiif/CICT-PLM-GT-030/manifest.json
CICT-PLM-GT-031,31,வெகுளாமை,Freedom from Anger,301,310,10,18941_33,10.5281/zenodo.20536184,https://zenodo.org/records/20536184,2761,481,page/18941_33.xml,iiif/CICT-PLM-GT-031/manifest.json
CICT-PLM-GT-032,32,இன்னா செய்யாமை,Non-infliction of Harm,311,320,10,18951_34,10.5281/zenodo.20536658,https://zenodo.org/records/20536658,2722,489,page/18951_34.xml,iiif/CICT-PLM-GT-032/manifest.json
CICT-PLM-GT-033,33,கொல்லாமை,Non-Killing,321,330,10,18961_35,10.5281/zenodo.20537064,https://zenodo.org/records/20537064,2775,483,page/18961_35.xml,iiif/CICT-PLM-GT-033/manifest.json
CICT-PLM-GT-034,34,நிலையாமை,Impermanence,331,340,10,18971_36,10.5281/zenodo.20537478,https://zenodo.org/records/20537478,2721,489,page/18971_36.xml,iiif/CICT-PLM-GT-034/manifest.json
CICT-PLM-GT-035,35,துறவு,Renunciation,341,350,10,18981_37,10.5281/zenodo.20551714,https://zenodo.org/records/20551714,2748,496,page/18981_37.xml,iiif/CICT-PLM-GT-035/manifest.json
CICT-PLM-GT-036,36,மெய்யுணர்தல்,Realization of Truth,351,360,10,18991_38,10.5281/zenodo.20552043,https://zenodo.org/records/20552043,2755,456,page/18991_38.xml,iiif/CICT-PLM-GT-036/manifest.json
CICT-PLM-GT-037,37,அவாவறுத்தல்,Curbing of Desire,361,370,10,19001_39,10.5281/zenodo.20552728,https://zenodo.org/records/20552728,2774,455,page/19001_39.xml,iiif/CICT-PLM-GT-037/manifest.json
CICT-PLM-GT-038,38,ஊழ்,Fate,371,380,10,19011_40,10.5281/zenodo.20553769,https://zenodo.org/records/20553769,2780,524,page/19011_40.xml,iiif/CICT-PLM-GT-038/manifest.json
CICT-PLM-GT-039,39,இறைமாட்சி,The Greatness of a King,381,390,10,19277_41,10.5281/zenodo.20591537,https://zenodo.org/records/20591537,2839,565,page/19277_41.xml,iiif/CICT-PLM-GT-039/manifest.json
CICT-PLM-GT-040,40,கல்வி,Learning,391,400,10,19287_42,10.5281/zenodo.20592072,https://zenodo.org/records/20592072,2831,478,page/19287_42.xml,iiif/CICT-PLM-GT-040/manifest.json
CICT-PLM-GT-041,41,கல்லாமை,Ignorance,401,410,10,19297_43,10.5281/zenodo.20592925,https://zenodo.org/records/20592925,2810,487,page/19297_43.xml,iiif/CICT-PLM-GT-041/manifest.json
CICT-PLM-GT-042,42,கேள்வி,Listening,411,420,10,19307_44,10.5281/zenodo.20603247,https://zenodo.org/records/20603247,2742,470,page/19307_44.xml,iiif/CICT-PLM-GT-042/manifest.json
CICT-PLM-GT-043,43,அறிவுடைமை,Possession of Wisdom,421,430,10,19317_45,10.5281/zenodo.20603435,https://zenodo.org/records/20603435,2830,505,page/19317_45.xml,iiif/CICT-PLM-GT-043/manifest.json
CICT-PLM-GT-044,44,குற்றங்கடிதல்,Avoiding Faults,431,440,10,19327_46,10.5281/zenodo.20603663,https://zenodo.org/records/20603663,2731,492,page/19327_46.xml,iiif/CICT-PLM-GT-044/manifest.json
CICT-PLM-GT-045,45,பெரியாரைத் துணைக்கோடல்,Seeking the Support of the Great,441,450,10,19337_47,10.5281/zenodo.20603956,https://zenodo.org/records/20603956,2827,486,page/19337_47.xml,iiif/CICT-PLM-GT-045/manifest.json
CICT-PLM-GT-046,46,சிற்றினஞ்சேராமை,Avoiding Mean Company,451,460,10,19347_48,10.5281/zenodo.20606000,https://zenodo.org/records/20606000,2754,468,page/19347_48.xml,iiif/CICT-PLM-GT-046/manifest.json
CICT-PLM-GT-047,47,தெரிந்துசெயல்வகை,Acting after Due Deliberation,461,470,10,19357_49,10.5281/zenodo.20606769,https://zenodo.org/records/20606769,2818,486,page/19357_49.xml,iiif/CICT-PLM-GT-047/manifest.json
CICT-PLM-GT-048,48,வலியறிதல்,Knowing One's Strength,471,480,10,19367_50,10.5281/zenodo.20607100,https://zenodo.org/records/20607100,2785,481,page/19367_50.xml,iiif/CICT-PLM-GT-048/manifest.json
CICT-PLM-GT-049,49,காலமறிதல்,Knowing the Proper Time,481,490,10,19377_51,10.5281/zenodo.20620453,https://zenodo.org/records/20620453,2839,487,page/19377_51.xml,iiif/CICT-PLM-GT-049/manifest.json
CICT-PLM-GT-050,50,இடனறிதல்,Knowing the Proper Place,491,500,10,19387_52,10.5281/zenodo.20620837,https://zenodo.org/records/20620837,2816,467,page/19387_52.xml,iiif/CICT-PLM-GT-050/manifest.json
CICT-PLM-GT-051,51,தெரிந்துதெளிதல்,Testing and Choosing the Right Person,501,510,10,19397_53,10.5281/zenodo.20623551,https://zenodo.org/records/20623551,2896,484,page/19397_53.xml,iiif/CICT-PLM-GT-051/manifest.json
CICT-PLM-GT-052,52,தெரிந்துவினையாடல்,Selection of the Right Person for a Task,511,520,10,19407_54,10.5281/zenodo.20623955,https://zenodo.org/records/20623955,2845,478,page/19407_54.xml,iiif/CICT-PLM-GT-052/manifest.json
CICT-PLM-GT-053,53,சுற்றந்தழால்,Cherishing Kindred and Associates,521,530,10,19417_55,10.5281/zenodo.20624521,https://zenodo.org/records/20624521,2815,447,page/19417_55.xml,iiif/CICT-PLM-GT-053/manifest.json
CICT-PLM-GT-054,54,பொச்சாவாமை,Unforgetfulness / Vigilance,531,540,10,19427_56,10.5281/zenodo.20639372,https://zenodo.org/records/20639372,2645,447,page/19427_56.xml,iiif/CICT-PLM-GT-054/manifest.json
CICT-PLM-GT-055,55,செங்கோன்மை,Just Rule,541,550,10,19437_57,10.5281/zenodo.20640368,https://zenodo.org/records/20640368,2851,490,page/19437_57.xml,iiif/CICT-PLM-GT-055/manifest.json
CICT-PLM-GT-056,56,கொடுங்கோன்மை,Tyranny / Cruel Rule,551,560,10,19447_58,10.5281/zenodo.20640589,https://zenodo.org/records/20640589,2693,453,page/19447_58.xml,iiif/CICT-PLM-GT-056/manifest.json
CICT-PLM-GT-057,57,வெருவந்தசெய்யாமை,Avoidance of Cruelty,561,570,10,19457_59,10.5281/zenodo.20642516,https://zenodo.org/records/20642516,2891,481,page/19457_59.xml,iiif/CICT-PLM-GT-057/manifest.json
CICT-PLM-GT-058,58,கண்ணோட்டம்,Benevolent Regard / Compassionate Governance,571,580,10,19467_60,10.5281/zenodo.20642814,https://zenodo.org/records/20642814,2717,470,page/19467_60.xml,iiif/CICT-PLM-GT-058/manifest.json
CICT-PLM-GT-059,59,ஒற்றாடல்,Espionage / Intelligence Gathering,581,590,10,19477_61,10.5281/zenodo.20655693,https://zenodo.org/records/20655693,2624,446,page/19477_61.xml,iiif/CICT-PLM-GT-059/manifest.json
CICT-PLM-GT-060,60,ஊக்கமுடைமை,Possession of Energy,591,600,10,19487_62,10.5281/zenodo.20711363,https://zenodo.org/records/20711363,2652,448,page/19487_62.xml,iiif/CICT-PLM-GT-060/manifest.json
CICT-PLM-GT-061,61,மடியின்மை,Freedom from Sloth / Diligence,601,610,10,19497_63,10.5281/zenodo.20713138,https://zenodo.org/records/20713138,2635,429,page/19497_63.xml,iiif/CICT-PLM-GT-061/manifest.json
CICT-PLM-GT-062,62,ஆள்வினையுடைமை,Possession of Energy and Perseverance,611,620,10,19507_64,10.5281/zenodo.20714331,https://zenodo.org/records/20714331,2694,457,page/19507_64.xml,iiif/CICT-PLM-GT-062/manifest.json
CICT-PLM-GT-063,63,இடுக்கணழியாமை,Perseverance in Adversity,621,630,10,19517_65,10.5281/zenodo.20714673,https://zenodo.org/records/20714673,2651,471,page/19517_65.xml,iiif/CICT-PLM-GT-063/manifest.json
CICT-PLM-GT-064,64,அமைச்சு,The Minister,631,640,10,19527_66,10.5281/zenodo.20714815,https://zenodo.org/records/20714815,2708,522,page/19527_66.xml,iiif/CICT-PLM-GT-064/manifest.json
CICT-PLM-GT-065,65,சொல்வன்மை,Excellence of Speech / Eloquence,641,650,10,19537_67,10.5281/zenodo.20714996,https://zenodo.org/records/20714996,2687,463,page/19537_67.xml,iiif/CICT-PLM-GT-065/manifest.json
CICT-PLM-GT-066,66,வினைத்தூய்மை,Purity in Action,651,660,10,19547_69,10.5281/zenodo.20715203,https://zenodo.org/records/20715203,2725,472,page/19547_69.xml,iiif/CICT-PLM-GT-066/manifest.json
CICT-PLM-GT-067,67,வினைத்திட்பம்,Power in Action,661,670,10,19557_68,10.5281/zenodo.20715350,https://zenodo.org/records/20715350,2669,427,page/19557_68.xml,iiif/CICT-PLM-GT-067/manifest.json
CICT-PLM-GT-068,68,வினைசெயல்வகை,Methods of Action,671,680,10,19567_70,10.5281/zenodo.20715434,https://zenodo.org/records/20715434,2647,455,page/19567_70.xml,iiif/CICT-PLM-GT-068/manifest.json
CICT-PLM-GT-069,69,தூது,The Envoy,681,690,10,19577_71,10.5281/zenodo.20715520,https://zenodo.org/records/20715520,2739,447,page/19577_71.xml,iiif/CICT-PLM-GT-069/manifest.json
CICT-PLM-GT-070,70,மன்னரைச் சேர்ந்தொழுதல்,Conduct in the Presence of the King,691,700,10,19587_72,10.5281/zenodo.20715639,https://zenodo.org/records/20715639,2663,453,page/19587_72.xml,iiif/CICT-PLM-GT-070/manifest.json
CICT-PLM-GT-071,71,குறிப்பறிதல்,Reading the Signs,701,710,10,19597_73,10.5281/zenodo.20728468,https://zenodo.org/records/20728468,2671,455,page/19597_73.xml,iiif/CICT-PLM-GT-071/manifest.json
CICT-PLM-GT-072,72,அவையறிதல்,Knowing the Assembly,711,720,10,19607_74,10.5281/zenodo.20728550,https://zenodo.org/records/20728550,2759,456,page/19607_74.xml,iiif/CICT-PLM-GT-072/manifest.json
CICT-PLM-GT-073,73,அவையஞ்சாமை,Not Dreading the Assembly,721,730,10,19617_75,10.5281/zenodo.20728622,https://zenodo.org/records/20728622,2679,448,page/19617_75.xml,iiif/CICT-PLM-GT-073/manifest.json
CICT-PLM-GT-074,74,நாடு,The Land,731,740,10,19627_76,10.5281/zenodo.20728692,https://zenodo.org/records/20728692,2800,470,page/19627_76.xml,iiif/CICT-PLM-GT-074/manifest.json
CICT-PLM-GT-075,75,அரண்,The Fortress,741,750,10,19637_77,10.5281/zenodo.20728764,https://zenodo.org/records/20728764,2700,472,page/19637_77.xml,iiif/CICT-PLM-GT-075/manifest.json
CICT-PLM-GT-076,76,பொருள்செயல்வகை,Ways of Amassing Wealth,751,760,10,19647_78,10.5281/zenodo.20729275,https://zenodo.org/records/20729275,2792,469,page/19647_78.xml,iiif/CICT-PLM-GT-076/manifest.json
CICT-PLM-GT-077,77,படைமாட்சி,Excellence of an Army,761,770,10,19657_79,10.5281/zenodo.20729379,https://zenodo.org/records/20729379,2876,482,page/19657_79.xml,iiif/CICT-PLM-GT-077/manifest.json
CICT-PLM-GT-078,78,படைச்செருக்கு,Military Spirit,771,780,10,19667_80,10.5281/zenodo.20729441,https://zenodo.org/records/20729441,2845,486,page/19667_80.xml,iiif/CICT-PLM-GT-078/manifest.json
CICT-PLM-GT-079,79,நட்பு,Friendship,781,790,10,19677_81,10.5281/zenodo.20729500,https://zenodo.org/records/20729500,2885,477,page/19677_81.xml,iiif/CICT-PLM-GT-079/manifest.json
CICT-PLM-GT-080,80,நட்பாராய்தல்,Investigation of Friendship,791,800,10,19687_82,10.5281/zenodo.20729562,https://zenodo.org/records/20729562,2874,490,page/19687_82.xml,iiif/CICT-PLM-GT-080/manifest.json
CICT-PLM-GT-081,81,பழைமை,Familiarity,801,810,10,19697_83,10.5281/zenodo.20791532,https://zenodo.org/records/20791532,2896,468,page/19697_83.xml,iiif/CICT-PLM-GT-081/manifest.json
CICT-PLM-GT-082,82,தீயநட்பு,Evil Friendship,811,820,10,19707_84,10.5281/zenodo.20791596,https://zenodo.org/records/20791596,2932,485,page/19707_84.xml,iiif/CICT-PLM-GT-082/manifest.json
CICT-PLM-GT-083,83,கூடாநட்பு,Unreal Friendship,821,830,10,19717_85,10.5281/zenodo.20791644,https://zenodo.org/records/20791644,2861,472,page/19717_85.xml,iiif/CICT-PLM-GT-083/manifest.json
CICT-PLM-GT-084,84,பேதைமை,Folly,831,840,10,19727_86,10.5281/zenodo.20791779,https://zenodo.org/records/20791779,2791,457,page/19727_86.xml,iiif/CICT-PLM-GT-084/manifest.json
CICT-PLM-GT-085,85,புல்லறிவாண்மை,Petty Conceit,841,850,10,19737_87,10.5281/zenodo.20791837,https://zenodo.org/records/20791837,2869,485,page/19737_87.xml,iiif/CICT-PLM-GT-085/manifest.json
CICT-PLM-GT-086,86,இகல்,Enmity,851,860,10,19747_88,10.5281/zenodo.20796722,https://zenodo.org/records/20796722,2834,498,page/19747_88.xml,iiif/CICT-PLM-GT-086/manifest.json
CICT-PLM-GT-087,87,பகைமாட்சி,The Might of Hatred,861,870,10,19757_89,10.5281/zenodo.20807833,https://zenodo.org/records/20807833,2946,494,page/19757_89.xml,iiif/CICT-PLM-GT-087/manifest.json
CICT-PLM-GT-088,88,பகைத்திறந்தெரிதல்,Discerning the Nature of Enmity,871,880,10,19767_90,10.5281/zenodo.20807881,https://zenodo.org/records/20807881,2851,514,page/19767_90.xml,iiif/CICT-PLM-GT-088/manifest.json
CICT-PLM-GT-089,89,உட்பகை,Secret Enmity,881,890,10,19777_91,10.5281/zenodo.20807975,https://zenodo.org/records/20807975,2808,441,page/19777_91.xml,iiif/CICT-PLM-GT-089/manifest.json
CICT-PLM-GT-090,90,பெரியாரைப் பிழையாமை,Not Offending the Great,891,900,10,19787_92,10.5281/zenodo.20808045,https://zenodo.org/records/20808045,2782,472,page/19787_92.xml,iiif/CICT-PLM-GT-090/manifest.json
CICT-PLM-GT-091,91,பெண்வழிச்சேறல்,Being Led by Women,901,910,10,19797_93,10.5281/zenodo.20810653,https://zenodo.org/records/20810653,2806,453,page/19797_93.xml,iiif/CICT-PLM-GT-091/manifest.json
CICT-PLM-GT-092,92,வரைவின்மகளிர்,Wanton Women,911,920,10,19807_94,10.5281/zenodo.20810915,https://zenodo.org/records/20810915,2803,464,page/19807_94.xml,iiif/CICT-PLM-GT-092/manifest.json
CICT-PLM-GT-093,93,கள்ளுண்ணாமை,Not Drinking Liquor,921,930,10,19817_95,10.5281/zenodo.20811000,https://zenodo.org/records/20811000,2862,491,page/19817_95.xml,iiif/CICT-PLM-GT-093/manifest.json
CICT-PLM-GT-094,94,சூது,Gambling,931,940,10,19827_96,10.5281/zenodo.20811066,https://zenodo.org/records/20811066,2871,470,page/19827_96.xml,iiif/CICT-PLM-GT-094/manifest.json
CICT-PLM-GT-095,95,மருந்து,Medicine,941,950,10,19837_97,10.5281/zenodo.20811140,https://zenodo.org/records/20811140,2911,494,page/19837_97.xml,iiif/CICT-PLM-GT-095/manifest.json
CICT-PLM-GT-096,96,குடிமை,Nobility,951,960,10,19847_98,10.5281/zenodo.20811185,https://zenodo.org/records/20811185,2833,515,page/19847_98.xml,iiif/CICT-PLM-GT-096/manifest.json
CICT-PLM-GT-097,97,மானம்,Honour,961,970,10,19857_99,10.5281/zenodo.20811272,https://zenodo.org/records/20811272,2912,482,page/19857_99.xml,iiif/CICT-PLM-GT-097/manifest.json
CICT-PLM-GT-098,98,பெருமை,Greatness,971,980,10,19867_100,10.5281/zenodo.20811332,https://zenodo.org/records/20811332,2832,501,page/19867_100.xml,iiif/CICT-PLM-GT-098/manifest.json
CICT-PLM-GT-099,99,சான்றாண்மை,Perfectness,981,990,10,19877_101,10.5281/zenodo.20811388,https://zenodo.org/records/20811388,2911,503,page/19877_101.xml,iiif/CICT-PLM-GT-099/manifest.json
CICT-PLM-GT-100,100,பண்புடைமை,Courtesy,991,1000,10,19887_102,10.5281/zenodo.20811460,https://zenodo.org/records/20811460,2836,439,page/19887_102.xml,iiif/CICT-PLM-GT-100/manifest.json
