kural,verification,pal,iyal,adhigaram,adhigaramName,adi,siraPos,sira,togai,sol,split,category,ilakkanam,vetrumai,todar,gloss,confidence
2,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,2,1,நற்றாள்,பண்புத்தொகை,தாள்,தாள்,பெயர்,சினைப்பெயர்,2:ஐ:செயப்படுபொருள்,,feet,0.7
2,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,2,2,தொழாஅர்,,தொழாஅர்,"தொழு+ஆ+அர் (தொழாஅர், எதிர்மறை)",வினை,குறிப்புவினைமுற்று,,,those who do not worship,0.65
2,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,2,3,எனின்,,எனின்,என்+இன் (எனின்),வினை,வினையெச்சம்,,,if (it be so),0.7
3,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,1,மலர்மிசை,வேற்றுமைத்தொகை,மலர்,மலர்,பெயர்,பொருட்பெயர்,7:மிசை:இடம்,,on the flower,0.85
3,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,1,மலர்மிசை,வேற்றுமைத்தொகை,மிசை,மிசை,இடை,வேற்றுமைஉருபு,7:மிசை:இடம்,,"upon, on (locative postposition)",0.75
3,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,2,ஏகினான்,,ஏகினான்,ஏகு+இன்+ஆன்,வினை,தெரிநிலைவினைமுற்று,,அடைமொழி,he who went/abides,0.72
3,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,3,மாணடி,பண்புத்தொகை,மாண்,மாண்,உரி,உரிச்சொல்,,அடைமொழி,"excellent, glorious",0.65
3,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,3,மாணடி,பண்புத்தொகை,அடி,அடி,பெயர்,சினைப்பெயர்,2:ஐ:செயப்படுபொருள்,,feet,0.7
3,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,4,சேர்ந்தார்,,சேர்ந்தார்,சேர்+ந்த்+ஆர்,பெயர்,வினையாலணையும்பெயர்,,,those who reached/clung,0.75
3,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,2,1,நிலமிசை,வேற்றுமைத்தொகை,நிலம்,நிலம்,பெயர்,இடப்பெயர்,7:மிசை:இடம்,,on the earth,0.85
3,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,2,1,நிலமிசை,வேற்றுமைத்தொகை,மிசை,மிசை,இடை,வேற்றுமைஉருபு,7:மிசை:இடம்,,"upon, on (locative postposition)",0.75
3,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,2,2,நீடுவாழ்,வினைத்தொகை,நீடு,நீடு,உரி,உரிச்சொல்,,,"long, enduring",0.7
3,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,2,2,நீடுவாழ்,வினைத்தொகை,வாழ்,வாழ்,வினை,பெயரெச்சம்,,,live (long),0.55
3,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,2,3,வார்,,வார்,வாழ்வார் (நீடுவாழ்வார்),பெயர்,வினையாலணையும்பெயர்,,,(they) will live,0.6
4,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,1,வேண்டுதல்,,வேண்டுதல்,வேண்டு+தல்,பெயர்,தொழிற்பெயர்,,,"desiring, liking",0.85
4,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,2,வேண்டாமை,,வேண்டாமை,வேண்டு+ஆ+மை (எதிர்மறைத் தொழிற்பெயர்),பெயர்,தொழிற்பெயர்,,,"not-desiring, loathing",0.8
4,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,3,இலானடி,,இலான்,இல்+ஆன் (இல்லாதான்),பெயர்,வினையாலணையும்பெயர்,,அடைமொழி,he who is without,0.6
4,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,3,இலானடி,,அடி,அடி,பெயர்,சினைப்பெயர்,2:ஐ:செயப்படுபொருள்,,feet,0.7
4,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,4,சேர்ந்தார்க்கு,,சேர்ந்தார்,சேர்+ந்த்+ஆர்,பெயர்,வினையாலணையும்பெயர்,4:கு:கொடை/நோக்கம்,,for those who reached,0.75
4,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,4,சேர்ந்தார்க்கு,,கு,கு,இடை,வேற்றுமைஉருபு,4:கு:கொடை/நோக்கம்,,dative -to/for,0.8
4,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,2,1,யாண்டும்,,யாண்டு,யாண்டு,பெயர்,காலப்பெயர்,,,(at) any time/place,0.6
4,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,2,1,யாண்டும்,,உம்,உம்,இடை,உம்மை,,,"even, always (inclusive/முற்றும்மை)",0.8
4,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,2,2,இடும்பை,,இடும்பை,இடும்பை,பெயர்,பண்புப்பெயர்,,,"suffering, sorrow",0.85
4,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,2,3,இல,,இல,இல்+அ,வினை,குறிப்புவினைமுற்று,,,(they) are not / none,0.65
5,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,1,இருள்சேர்,,இருள்,இருள்,பெயர்,பொருட்பெயர்,,,darkness (ignorance),0.8
5,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,1,இருள்சேர்,,சேர்,சேர்(ந்த) — சேர்,வினை,பெயரெச்சம்,,அடைமொழி,associated/born of,0.6
5,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,2,இருவினையும்,,இரு,இரு,பெயர்,எண்ணுப்பெயர்,,அடைமொழி,two,0.7
5,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,2,இருவினையும்,,வினை,வினை,பெயர்,பொருட்பெயர்,,,deeds (karma),0.8
5,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,2,இருவினையும்,,உம்,உம்,இடை,உம்மை,,,both (inclusive),0.8
5,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,3,சேரா,,சேரா,சேர்+ஆ (எதிர்மறை),வினை,குறிப்புவினைமுற்று,,,do not join/attach,0.6
5,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,4,இறைவன்,,இறைவன்,இறை+வன்,பெயர்,காரணப்பெயர்,6:அது:உடைமை,,the Lord (God's),0.7
5,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,2,1,பொருள்சேர்,,பொருள்,பொருள்,பெயர்,பொருட்பெயர்,,,"truth, real meaning",0.75
5,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,2,1,பொருள்சேர்,,சேர்,சேர்(ந்த) — சேர்,வினை,பெயரெச்சம்,,அடைமொழி,"joined-with, true",0.6
5,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,2,2,புகழ்புரிந்தார்,,புகழ்,புகழ்,பெயர்,பண்புப்பெயர்,2:ஐ:செயப்படுபொருள்,,"praise, fame",0.75
5,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,2,2,புகழ்புரிந்தார்,,புரிந்தார்,புரி+ந்த்+ஆர்,பெயர்,வினையாலணையும்பெயர்,,,those who cherished/desired,0.7
5,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,2,3,மாட்டு,,மாட்டு,மாட்டு,இடை,வேற்றுமைஉருபு,7:மாட்டு:இடம்,,"in, with regard to (locative)",0.65
6,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,1,பொறிவாயில்,பண்புத்தொகை,பொறி,பொறி,பெயர்,சினைப்பெயர்,,அடைமொழி,sense-organs,0.7
6,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,1,பொறிவாயில்,பண்புத்தொகை,வாயில்,வாயில்,பெயர்,இடப்பெயர்,,,"gateway, channel",0.7
6,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,2,ஐந்தவித்தான்,,ஐந்து,ஐந்து,பெயர்,எண்ணுப்பெயர்,2:ஐ:செயப்படுபொருள்,,the five (desires),0.7
6,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,2,ஐந்தவித்தான்,,அவித்தான்,அவி+த்த்+ஆன்,வினை,தெரிநிலைவினைமுற்று,,அடைமொழி,he who extinguished,0.7
6,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,3,பொய்தீர்,,பொய்,பொய்,பெயர்,பண்புப்பெயர்,,,falsehood,0.75
6,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,3,பொய்தீர்,,தீர்,தீர்(ந்த) — தீர்,வினை,பெயரெச்சம்,,அடைமொழி,"free-of, devoid-of",0.6
6,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,4,ஒழுக்க,,ஒழுக்க,ஒழுக்கம் (ஒழுக்க-),பெயர்,பண்புப்பெயர்,,அடைமொழி,"conduct, virtue",0.65
6,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,2,1,நெறிநின்றார்,வேற்றுமைத்தொகை,நெறி,நெறி,பெயர்,இடப்பெயர்,7:கண்:இடம்,,in the path,0.7
6,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,2,1,நெறிநின்றார்,வேற்றுமைத்தொகை,நின்றார்,நில்+ன்ற்+ஆர்,பெயர்,வினையாலணையும்பெயர்,,,those who stood/stayed,0.7
6,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,2,2,நீடுவாழ்,வினைத்தொகை,நீடு,நீடு,உரி,உரிச்சொல்,,,"long, enduring",0.7
6,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,2,2,நீடுவாழ்,வினைத்தொகை,வாழ்,வாழ்,வினை,பெயரெச்சம்,,,live (long),0.55
6,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,2,3,வார்,,வார்,வாழ்வார் (நீடுவாழ்வார்),பெயர்,வினையாலணையும்பெயர்,,,(they) will live,0.6
7,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,1,தனக்குவமை,,தனக்கு,தன்+கு,பெயர்,சுட்டுப்பெயர்,4:கு:கொடை/நோக்கம்,,to himself,0.7
7,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,1,தனக்குவமை,,உவமை,உவமை,பெயர்,பண்புப்பெயர்,,,"comparison, equal",0.75
7,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,2,இல்லாதான்,,இல்லாதான்,இல்+ஆத்+ஆன்,பெயர்,வினையாலணையும்பெயர்,,அடைமொழி,he who has none (peerless),0.65
7,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,3,தாள்சேர்ந்தார்க்,,தாள்,தாள்,பெயர்,சினைப்பெயர்,2:ஐ:செயப்படுபொருள்,,feet,0.75
7,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,3,தாள்சேர்ந்தார்க்,,சேர்ந்தார்க்,சேர்+ந்த்+ஆர்+கு,பெயர்,வினையாலணையும்பெயர்,4:கு:கொடை/நோக்கம்,,for those who reached,0.7
7,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,4,கல்லால்,,அல்லால்,அல்+ஆல் (கு+அல்லால்),இடை,எதிர்மறைஇடை,,,"except, other than",0.65
7,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,2,1,மனக்கவலை,வேற்றுமைத்தொகை,மனம்,மனம் (மன-),பெயர்,பொருட்பெயர்,7:கண்:இடம்,,of/in the mind,0.7
7,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,2,1,மனக்கவலை,வேற்றுமைத்தொகை,கவலை,கவலை,பெயர்,பண்புப்பெயர்,2:ஐ:செயப்படுபொருள்,,"anxiety, worry",0.75
7,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,2,2,மாற்றல்,,மாற்றல்,மாற்று+அல்,பெயர்,தொழிற்பெயர்,,,"removing, dispelling",0.8
7,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,2,3,அரிது,,அரிது,அரு+து (அரிது),வினை,குறிப்புவினைமுற்று,,,is difficult/impossible,0.7
8,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,1,அறவாழி,,அறம்,அறம் (அற-),பெயர்,பண்புப்பெயர்,,,"virtue, dharma",0.75
8,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,1,அறவாழி,,ஆழி,ஆழி,பெயர்,பொருட்பெயர்,,,"sea, ocean",0.8
8,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,2,அந்தணன்,,அந்தணன்,அம்+தண்+அன் (அந்தணன்),பெயர்,காரணப்பெயர்,,,the noble/sage (God),0.65
8,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,3,தாள்சேர்ந்தார்க்,,தாள்,தாள்,பெயர்,சினைப்பெயர்,2:ஐ:செயப்படுபொருள்,,feet,0.75
8,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,3,தாள்சேர்ந்தார்க்,,சேர்ந்தார்க்,சேர்+ந்த்+ஆர்+கு,பெயர்,வினையாலணையும்பெயர்,4:கு:கொடை/நோக்கம்,,for those who reached,0.7
8,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,4,கல்லால்,,அல்லால்,அல்+ஆல் (கு+அல்லால்),இடை,எதிர்மறைஇடை,,,"except, other than",0.65
8,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,2,1,பிறவாழி,,பிறவி,பிறவி (பிற-/பிறவ-),பெயர்,தொழிற்பெயர்,,,birth (cycle),0.6
8,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,2,1,பிறவாழி,,ஆழி,ஆழி,பெயர்,பொருட்பெயர்,2:ஐ:செயப்படுபொருள்,,sea (of births),0.7
8,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,2,2,நீந்தல்,,நீந்தல்,நீந்து+அல்,பெயர்,தொழிற்பெயர்,,,"swimming, crossing",0.8
8,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,2,3,அரிது,,அரிது,அரு+து (அரிது),வினை,குறிப்புவினைமுற்று,,,is difficult/impossible,0.7
9,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,1,கோளில்,,கோள்,கோள் (கொள்தல்),பெயர்,தொழிற்பெயர்,,,grasping power,0.6
9,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,1,கோளில்,,இல்,இல்,இடை,எதிர்மறைஇடை,,,without (privative),0.65
9,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,2,பொறியின்,,பொறி,பொறி,பெயர்,சினைப்பெயர்,5:இன்:நீங்கல்/ஒப்பு,,like the sense-organs,0.7
9,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,2,பொறியின்,,இன்,இன்,இடை,வேற்றுமைஉருபு,5:இன்:நீங்கல்/ஒப்பு,,comparative -in (like),0.65
9,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,3,குணமிலவே,,குணம்,குணம்,பெயர்,பண்புப்பெயர்,,,"quality, use",0.75
9,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,3,குணமிலவே,,இல,இல்+அ,வினை,குறிப்புவினைமுற்று,,,(they) are without quality,0.6
9,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,3,குணமிலவே,,ஏ,ஏ,இடை,ஏகாரம்,,,emphatic ஏ (தேற்றம்),0.75
9,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,4,எண்குணத்தான்,பண்புத்தொகை,எண்,எண்,பெயர்,எண்ணுப்பெயர்,,அடைமொழி,eight,0.7
9,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,4,எண்குணத்தான்,பண்புத்தொகை,குணத்தான்,குணம்+அத்து+ஆன் (குணம் உடையான்),பெயர்,காரணப்பெயர்,6:அது:உடைமை,,the Eight-Virtued One,0.65
9,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,2,1,தாளை,,தாள்,தாள்+ஐ,பெயர்,சினைப்பெயர்,2:ஐ:செயப்படுபொருள்,,the feet (obj.),0.85
9,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,2,1,தாளை,,ஐ,ஐ,இடை,வேற்றுமைஉருபு,2:ஐ:செயப்படுபொருள்,,accusative -ai,0.8
9,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,2,2,வணங்காத்,,வணங்காத,"வணங்கு+ஆ+அ (வணங்காத, எதிர்மறை)",வினை,எதிர்மறைபெயரெச்சம்,,அடைமொழி,that does not bow,0.75
9,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,2,3,தலை,,தலை,தலை,பெயர்,சினைப்பெயர்,,,head(s),0.8
10,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,1,பிறவிப்,,பிறவி,பிறவி (பிறவிப்-),பெயர்,தொழிற்பெயர்,,அடைமொழி,birth (as),0.7
10,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,2,பெருங்கடல்,பண்புத்தொகை,பெரு,பெரு(மை) — பெருங்,உரி,உரிச்சொல்,,அடைமொழி,"great, vast",0.7
10,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,2,பெருங்கடல்,பண்புத்தொகை,கடல்,கடல்,பெயர்,பொருட்பெயர்,2:ஐ:செயப்படுபொருள்,,"sea, ocean",0.8
10,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,3,நீந்துவர்,,நீந்துவர்,நீந்து+வ்+அர்,வினை,தெரிநிலைவினைமுற்று,,,(they) will swim across,0.8
10,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,1,4,நீந்தார்,,நீந்தார்,நீந்து+ஆ+அர் (எதிர்மறை),வினை,குறிப்புவினைமுற்று,,,(they) will not swim,0.7
10,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,2,1,இறைவன்,,இறைவன்,இறை+வன்,பெயர்,காரணப்பெயர்,6:அது:உடைமை,,the Lord's,0.7
10,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,2,2,அடிசேரா,,அடி,அடி,பெயர்,சினைப்பெயர்,2:ஐ:செயப்படுபொருள்,,feet (obj.),0.75
10,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,2,2,அடிசேரா,,சேரா,சேர்+ஆ (எதிர்மறை),வினை,எதிர்மறைபெயரெச்சம்,,அடைமொழி,who do not reach,0.6
10,verified,அறத்துப்பால்,பாயிரவியல்,1,கடவுள் வாழ்த்து,2,3,தார்,,தார்,சேராதார் (சேரா+தார்),பெயர்,வினையாலணையும்பெயர்,,,those who do not (reach),0.6
11,verified,அறத்துப்பால்,பாயிரவியல்,2,வான்சிறப்பு,1,1,வான்நின்று,,வான்,வான்,பெயர்,பொருட்பெயர்,,,rain/sky,0.85
11,verified,அறத்துப்பால்,பாயிரவியல்,2,வான்சிறப்பு,1,1,வான்நின்று,,நின்று,நில்+ன்(டு),வினை,வினையெச்சம்,,,standing/being,0.78
11,verified,அறத்துப்பால்,பாயிரவியல்,2,வான்சிறப்பு,1,2,உலகம்,,உலகம்,உலகம்,பெயர்,இடப்பெயர்,,,world,0.9
11,verified,அறத்துப்பால்,பாயிரவியல்,2,வான்சிறப்பு,1,3,வழங்கி,,வழங்கி,வழங்கு+இ,வினை,வினையெச்சம்,,,thriving/proceeding,0.8
11,verified,அறத்துப்பால்,பாயிரவியல்,2,வான்சிறப்பு,1,4,வருதலால்,,வருதல்,வரு+தல்,பெயர்,தொழிற்பெயர்,,,coming/happening,0.82
11,verified,அறத்துப்பால்,பாயிரவியல்,2,வான்சிறப்பு,1,4,வருதலால்,,ஆல்,ஆல்,இடை,வேற்றுமைஉருபு,3:ஆல்:கருவி/உடன்,,by/because,0.8
11,verified,அறத்துப்பால்,பாயிரவியல்,2,வான்சிறப்பு,2,1,தான்அமிழ்தம்,,தான்,தான்,இடை,அசைநிலை,,,itself (expletive),0.65
11,verified,அறத்துப்பால்,பாயிரவியல்,2,வான்சிறப்பு,2,1,தான்அமிழ்தம்,,அமிழ்தம்,அமிழ்தம்,பெயர்,பொருட்பெயர்,,,ambrosia/nectar,0.88
11,verified,அறத்துப்பால்,பாயிரவியல்,2,வான்சிறப்பு,2,2,என்றுணரற்,,என்று,என்+று,வினை,வினையெச்சம்,,,saying/that,0.7
11,verified,அறத்துப்பால்,பாயிரவியல்,2,வான்சிறப்பு,2,2,என்றுணரற்,,உணரற்,உணர்+அல்,பெயர்,தொழிற்பெயர்,,,realizing/knowing,0.68
11,verified,அறத்துப்பால்,பாயிரவியல்,2,வான்சிறப்பு,2,3,பாற்று,,பாற்று,பால்+து,வினை,குறிப்புவினைமுற்று,,,is of the nature of,0.62
12,verified,அறத்துப்பால்,பாயிரவியல்,2,வான்சிறப்பு,1,1,துப்பார்க்குத்,,துப்பார்,துப்பு+ஆர்,பெயர்,வினையாலணையும்பெயர்,,,those who eat/enjoy,0.72
12,verified,அறத்துப்பால்,பாயிரவியல்,2,வான்சிறப்பு,1,1,துப்பார்க்குத்,,கு,கு,இடை,வேற்றுமைஉருபு,4:கு:கொடை/நோக்கம்,,for/to,0.82
12,verified,அறத்துப்பால்,பாயிரவியல்,2,வான்சிறப்பு,1,2,துப்பாய,,துப்பாய,துப்பு+ஆய,வினை,பெயரெச்சம்,,,that are food/sustenance,0.68
12,verified,அறத்துப்பால்,பாயிரவியல்,2,வான்சிறப்பு,1,3,துப்பாக்கித்,,துப்பாக்கி,துப்பு+ஆக்கி,வினை,வினையெச்சம்,,,having made into food,0.72
12,verified,அறத்துப்பால்,பாயிரவியல்,2,வான்சிறப்பு,1,4,துப்பார்க்குத்,,துப்பார்,துப்பு+ஆர்,பெயர்,வினையாலணையும்பெயர்,,,those who eat/enjoy,0.72
12,verified,அறத்துப்பால்,பாயிரவியல்,2,வான்சிறப்பு,1,4,துப்பார்க்குத்,,கு,கு,இடை,வேற்றுமைஉருபு,4:கு:கொடை/நோக்கம்,,for/to,0.82
